smiles,isactive
CC(=O)OCC1OC(OCCCn2cc(COCC3OC(OCc4cn(CCCOC5OC(COC(C)=O)C(O)C(O)C5OC5OC(C)C(OC(C)=O)C(OC(C)=O)C5OC(C)=O)nn4)C(OCc4cnnn4CCCOC4OC(COC(C)=O)C(O)C(O)C4OC4OC(C)C(OC(C)=O)C(OC(C)=O)C4OC(C)=O)C(OCc4cn(CCCOC5OC(COC(C)=O)C(O)C(O)C5OC5OC(C)C(OC(C)=O)C(OC(C)=O)C5OC(C)=O)nn4)C3OCc3cn(CCCOC4OC(COC(C)=O)C(O)C(O)C4OC4OC(C)C(OC(C)=O)C(OC(C)=O)C4OC(C)=O)nn3)nn2)C(OC2OC(C)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)C(O)C1O,1
Cc1cc(C2CCCCC2)n(O)c(=O)c1,1
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,1
CCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],0
NC(=O)c1cccnc1,1
O=c1ccc2cc(O)c(O)cc2o1,1
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0
c1ccc(CNCCNCc2ccccc2)cc1,0
COc1cccc(-c2ccc(N)cc2)c1,1
C=C(C)C1CCC2(C)C(O)CC(O)C(=C)C2C1,1
Cc1cc(O)c(C2c3c(O)cc(O)cc3OC(c3ccc(O)c(O)c3)C2O)c2c1CC(C)(O)C(c1ccc(O)c(O)c1)O2,1
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
CC(C)(O)C1CCC2(C)CCCC3(CO3)C2(O)C1O,1
Cl.O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,0
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1
CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(CC=C(C)C(=O)O)C4=O)C3=O,0
Cc1c(C(C)C2NCC(C)CC2O)ccc2c1CC1C2CC=C2CC(O)CCC21C,1
OB1OCc2cc(Cl)ccc21,1
O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,0
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,0
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,1
Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0
CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,0
CC(C)=CCc1cc(C(OC(=O)CC(C)(O)CC(=O)O)C(=O)O)c(CC=C(C)C)c(O)c1OC1OC(CO)C(O)C(O)C1O,1
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,1
C=C1C(O)CC=C(C)CCC(C(=C)C)CC1O,1
CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,0
C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1ccc2ccccc2c1O,0
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,0
CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,0
CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,1
Nc1c2c(nc3ccccc13)CCCC2,0
NC(CCC(=O)NC(CS(=O)(=O)O)C(=O)NCC(=O)O)C(=O)O,1
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,0
C=C(C)C1CCC(=C)C2(O)CC(O)C(=C)C(C1)O2,1
CC(=O)C1CCC2C3CC=C4CC(OC(=O)CCC(=O)O)CCC4(C)C3CCC12C,0
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,0
COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,0
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,0
CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1CC(C2CCCCC2)CC1C(=O)O)C(C)C,0
CCc1cccc2c1N(C)Cc1cc(OC)c(OC)cc1-2,1
CCC(C)C(NC(=O)C(C)NC)C(=O)N1CCC2OCc3ccc(OC)c(c3)C=CNC(=O)C(C(C)C)NC(=O)C21,1
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,0
Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,1
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,0
O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,0
CC(CCCC(C)(C)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,0
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,0
CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,1
CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)CO,0
COc1cc(O)cc(O)c1C(=O)C=Cc1ccccc1,1
C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O,1
Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,0
CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,0
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,0
CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,0
CCC(C)C(CC)C(N)=O,0
